,songname,songurl,playlist,viewcount
0,betty,https://www.youtube.com/watch?v=pVWMxOlqdlk&list=OLAK5uy_mjy8Qu30kjOLkQuJm57RVWJ_BWYB8t_DY&index=1,"the ""ladies lunching"" chapter","91,111 views"
1,Taylor Swift - dorothea (Official Lyric Video),https://www.youtube.com/watch?v=zI4DS5GmQWE&list=OLAK5uy_mjy8Qu30kjOLkQuJm57RVWJ_BWYB8t_DY&index=2,"the ""ladies lunching"" chapter","5,374,578 views"
2,Taylor Swift - marjorie (Official Lyric Video),https://www.youtube.com/watch?v=hP6QpMeSG6s&list=OLAK5uy_mjy8Qu30kjOLkQuJm57RVWJ_BWYB8t_DY&index=3,"the ""ladies lunching"" chapter","5,307,665 views"
3,Taylor Swift - august (Official Lyric Video),https://www.youtube.com/watch?v=nn_0zPAfyo8&list=OLAK5uy_mjy8Qu30kjOLkQuJm57RVWJ_BWYB8t_DY&index=4,"the ""ladies lunching"" chapter","22,042,524 views"
4,"Taylor Swift - no body, no crime (Official Lyric Video) ft. HAIM",https://www.youtube.com/watch?v=IEPomqor2A8&list=OLAK5uy_mjy8Qu30kjOLkQuJm57RVWJ_BWYB8t_DY&index=5,"the ""ladies lunching"" chapter","10,830,244 views"
5,Taylor Swift - right where you left me (Official Lyric Video),https://www.youtube.com/watch?v=Ur_wAcYDnuA&list=OLAK5uy_mjy8Qu30kjOLkQuJm57RVWJ_BWYB8t_DY&index=6,"the ""ladies lunching"" chapter","6,354,288 views"
6,Taylor Swift - betty (Live from the 2020 Academy of Country Music Awards),https://www.youtube.com/watch?v=orXAg5dIMa8&list=OLAK5uy_k1nX8q5JTutxVTmVg9_ynQGjMmp0H8Ssc&index=1,betty (Live from the 2020 Academy of Country Music Awards),"14,126,682 views"
7,Delicate (Sawyr And Ryan Tedder Mix),https://www.youtube.com/watch?v=i1Xfv5hbRQQ&list=OLAK5uy_nRv4Ehg49_EPMzO5fAk7zJ71Ln1FGgteU&index=1,Delicate (Sawyr And Ryan Tedder Mix),"154,630 views"
8,Taylor Swift - cardigan (cabin in candlelight version / Visualizer),https://www.youtube.com/watch?v=i50QUXDeC80&list=OLAK5uy_mbWzvyZHTGmnXJFVUgjwhbs3Ai1tsPLvc&index=1,cardigan (cabin in candlelight version),"3,807,620 views"
9,You Need To Calm Down (Clean Bandit Remix),https://www.youtube.com/watch?v=FBCtWS6_Gw8&list=OLAK5uy_nwzpR6hOKE6gngA_A8rzUUzp7pC6Yfz_0&index=1,You Need To Calm Down (Clean Bandit Remix),"818,845 views"
10,Mine (Commentary),https://www.youtube.com/watch?v=rSAvXXo4Y-0&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ&index=1,Speak Now (Big Machine Radio Release Special),"185,137 views"
11,Taylor Swift - Mine,https://www.youtube.com/watch?v=XPBwXKgDTdE&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ&index=2,Speak Now (Big Machine Radio Release Special),"304,813,451 views"
12,Sparks Fly (Commentary),https://www.youtube.com/watch?v=HQymUZWzL6M&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ&index=3,Speak Now (Big Machine Radio Release Special),"30,447 views"
13,Taylor Swift - Sparks Fly,https://www.youtube.com/watch?v=oKar-tF__ac&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ&index=4,Speak Now (Big Machine Radio Release Special),"76,285,491 views"
14,Back To December (Commentary),https://www.youtube.com/watch?v=9NUHurpmXfY&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ&index=5,Speak Now (Big Machine Radio Release Special),"24,104 views"
15,Taylor Swift - Back To December,https://www.youtube.com/watch?v=QUwxKWT6m7U&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ&index=6,Speak Now (Big Machine Radio Release Special),"231,746,465 views"
16,Speak Now (Commentary),https://www.youtube.com/watch?v=ZppGD3b1igs&list=OLAK5uy_nJZmewZkWWkU_WsByFo2A2Cjwk6rh8stQ&index=7,Speak Now (Big Machine Radio Release Special),"18,889 views"
