Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.28967246703070554
75% Corpus,2,0.01,0.31,0.28967246703070554
75% Corpus,2,0.01,0.61,0.28967246703070554
75% Corpus,2,0.01,0.9099999999999999,0.28967246703070554
75% Corpus,2,0.01,symmetric,0.28967246703070554
75% Corpus,2,0.31,0.01,0.2896724670307055
75% Corpus,2,0.31,0.31,0.2896724670307055
75% Corpus,2,0.31,0.61,0.28967246703070554
75% Corpus,2,0.31,0.9099999999999999,0.28967246703070554
75% Corpus,2,0.31,symmetric,0.28967246703070554
75% Corpus,2,0.61,0.01,0.29177789406702415
75% Corpus,2,0.61,0.31,0.2896724670307055
75% Corpus,2,0.61,0.61,0.28967246703070554
75% Corpus,2,0.61,0.9099999999999999,0.28967246703070554
75% Corpus,2,0.61,symmetric,0.28967246703070554
75% Corpus,2,0.9099999999999999,0.01,0.29177789406702415
75% Corpus,2,0.9099999999999999,0.31,0.2896724670307055
75% Corpus,2,0.9099999999999999,0.61,0.2896724670307055
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.2896724670307055
75% Corpus,2,0.9099999999999999,symmetric,0.2896724670307055
75% Corpus,2,symmetric,0.01,0.29177789406702415
75% Corpus,2,symmetric,0.31,0.28967246703070554
75% Corpus,2,symmetric,0.61,0.28967246703070554
75% Corpus,2,symmetric,0.9099999999999999,0.28967246703070554
75% Corpus,2,symmetric,symmetric,0.28967246703070554
75% Corpus,2,asymmetric,0.01,0.2896724670307055
75% Corpus,2,asymmetric,0.31,0.28967246703070554
75% Corpus,2,asymmetric,0.61,0.28967246703070554
75% Corpus,2,asymmetric,0.9099999999999999,0.2896724670307055
75% Corpus,2,asymmetric,symmetric,0.28967246703070554
75% Corpus,3,0.01,0.01,0.30472772135952075
75% Corpus,3,0.01,0.31,0.28390341875282926
75% Corpus,3,0.01,0.61,0.28555472859882886
75% Corpus,3,0.01,0.9099999999999999,0.2939993868130771
75% Corpus,3,0.01,symmetric,0.29004322719453884
75% Corpus,3,0.31,0.01,0.29678986961569265
75% Corpus,3,0.31,0.31,0.3001646989878542
75% Corpus,3,0.31,0.61,0.2847075711463858
75% Corpus,3,0.31,0.9099999999999999,0.30797578295771316
75% Corpus,3,0.31,symmetric,0.2958986615986781
75% Corpus,3,0.61,0.01,0.2872489755235622
75% Corpus,3,0.61,0.31,0.3001646989878542
75% Corpus,3,0.61,0.61,0.28390341875282926
75% Corpus,3,0.61,0.9099999999999999,0.29862923893040566
75% Corpus,3,0.61,symmetric,0.3001646989878542
75% Corpus,3,0.9099999999999999,0.01,0.2872489755235622
75% Corpus,3,0.9099999999999999,0.31,0.3039105752048565
75% Corpus,3,0.9099999999999999,0.61,0.28390341875282926
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2960358489815254
75% Corpus,3,0.9099999999999999,symmetric,0.3039105752048565
75% Corpus,3,symmetric,0.01,0.29678986961569265
75% Corpus,3,symmetric,0.31,0.3001646989878542
75% Corpus,3,symmetric,0.61,0.2847075711463858
75% Corpus,3,symmetric,0.9099999999999999,0.30347273898129834
75% Corpus,3,symmetric,symmetric,0.2958986615986781
75% Corpus,3,asymmetric,0.01,0.2967898696156926
75% Corpus,3,asymmetric,0.31,0.28529616735380214
75% Corpus,3,asymmetric,0.61,0.2673272494046431
75% Corpus,3,asymmetric,0.9099999999999999,0.32539832728496487
75% Corpus,3,asymmetric,symmetric,0.28529616735380214
75% Corpus,4,0.01,0.01,0.27887909472851247
75% Corpus,4,0.01,0.31,0.2767994438582524
75% Corpus,4,0.01,0.61,0.2764892192728401
75% Corpus,4,0.01,0.9099999999999999,0.2867318116096811
75% Corpus,4,0.01,symmetric,0.2767994438582524
75% Corpus,4,0.31,0.01,0.2702854587368768
75% Corpus,4,0.31,0.31,0.28132272585592394
75% Corpus,4,0.31,0.61,0.28132272585592394
75% Corpus,4,0.31,0.9099999999999999,0.2908746658762018
75% Corpus,4,0.31,symmetric,0.2834599390762908
75% Corpus,4,0.61,0.01,0.27515324628608273
75% Corpus,4,0.61,0.31,0.2834599390762908
75% Corpus,4,0.61,0.61,0.27479333124900635
75% Corpus,4,0.61,0.9099999999999999,0.28654458411725764
75% Corpus,4,0.61,symmetric,0.28345993907629075
75% Corpus,4,0.9099999999999999,0.01,0.2736748562478382
75% Corpus,4,0.9099999999999999,0.31,0.27385022147995186
75% Corpus,4,0.9099999999999999,0.61,0.2747933312490063
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.28102564914729744
75% Corpus,4,0.9099999999999999,symmetric,0.27385022147995186
75% Corpus,4,symmetric,0.01,0.2702854587368768
75% Corpus,4,symmetric,0.31,0.27679944385825234
75% Corpus,4,symmetric,0.61,0.28132272585592394
75% Corpus,4,symmetric,0.9099999999999999,0.2908746658762018
75% Corpus,4,symmetric,symmetric,0.2771450926937003
