,0
0,there is something about the way endofline the street looks when it is just rained endofline there is a glow off the pavement you walk me to the car endofline and you know i want to ask you to dance right there endofline in the middle of the parking lot yeah endofline oh yeah endofparagraph we are driving down the road i wonder if you know endofline i am trying so hard not to get caught up now endofline but you are just so cool run your hands through your hair endofline absentmindedly making me want you endofparagraph and i do not know how it gets better than this endofline you take my hand and drag me head first fearless endofline and i do not know why but with you i would dance endofline in a storm in my best dress fеarless endofparagraph so baby drive slow 'til we run out of road in this onеhorse town endofline i want to stay right here in this passenger's seat endofline you put your eyes on me endofline in this moment now capture it remember it endofparagraph because i do not know how it gets better than this endofline you take my hand and drag me head first fearless endofline and i do not know why but with you i would dance endofline in a storm in my best dress fearless endofline oh oh endofparagraph well you stood there with me in the doorway endofline my hands shake i am not usually this way but endofline you pull me in and i am a little more brave endofline it is the first kiss it is flawless really something endofline it is fearless endofline oh yeah endofparagraph because i do not know how it gets better than this endofline you take my hand and drag me head first fearless endofline and i do not know why but with you i would dance endofline in a storm in my best dress fearless endofline because i do not know how it gets better than this endofline you take my hand and drag me head first fearless endofline and i do not know why but with you i would dance endofline in a storm in my best dress fearless endofparagraph oh oh endofline ohoh yeah endofparagraph
1,you take a deep breath and you walk through the doors endofline it is the mornin' of your very first day endofline you say hi to your friends you are not seen in a while endofline try and stay out of everybody's way endofline it is your freshman year and you are going to be here endofline for the next four years in this town endofline hopin' one of those senior boys will wink at you and say endofline you know i have not seen you around before endofparagraph because when you are fifteen and somebody tells you they love you endofline you are going to believe them endofline and when you are fifteen feelin' like there is nothing to figure out endofline well count to ten take it in endofline this is life before you know who you are going to be endofline fifteen endofparagraph you sit in class next to a redhead named abigail endofline and soon enough you are best friends endofline laughin' at the other girls who think they are so cool endofline we will be outta here as soon as we can endofline and then you are on your very first date and he is got a car endofline and you are feelin' like flyin' endofline and your mama's waitin' up and you are thinkin' he is the one endofline and you are dancin' 'round your room when the night ends endofline when the night ends endofparagraph because when you are fifteen and somebody tells you they love you endofline you are going to believe them endofline and when you are fifteen and your first kiss endofline makes your head spin 'round endofline but in your life you will do things greater than endofline dating the boy on the football team endofline but i did not know it at fifteen endofparagraph when all you wanted was to be wanted endofline wish you could go back and tell yourself what you know now endofline back then i swore i was going to marry him someday endofline but i realized some bigger dreams of mine endofline and abigail gave everything she had endofline to a boy who changed his mind endofline and we both cried endofparagraph because when you are fifteen and somebody tells you they love you endofline you are going to believe them endofline and when you are fifteen do not forget to look before you fall endofline i have found time can heal most anything endofline and you just might find who you are supposed to be endofline i did not know who i was supposed to be endofline at fifteen endofparagraph[postchorus] endofline lalala lalala lalalala endofline lalala lalala lalalala endofline lalala lalala endofparagraph your very first day endofline take a deep breath girl endofline take a deep breath as you walk through the doors endofparagraph
2,we were both young when i first saw you endofline i close my eyes and the flashback starts endofline i am standing there endofline on a balcony in summer air endofline see the lights see the party the ball gowns endofline see you make your way through the crowd endofline and say hello endofline little did i know endofparagraph[prechorus] endofline that you were romeo you were throwing pebbles endofline and my daddy said stay away from juliet endofline and i was crying on the staircase endofline begging you please do not go and i said endofparagraph romeo take me somewhere we can be alone endofline i will be waiting all there is left to do is run endofline you will be the prince and i will be the princess endofline it is a love story baby just say yes endofparagraph so i sneak out to the garden to see you endofline we keep quiet because we are dead if they knew endofline so close your eyes endofline escape this town for a little while oh oh endofparagraph[prechorus] endofline because you were romeo i was a scarlet letter endofline and my daddy said stay away from juliet endofline but you were everything to me endofline i was begging you please do not go and i said endofparagraph romeo take me somewhere we can be alone endofline i will be waiting all there is left to do is run endofline you will be the prince and i will be the princess endofline it is a love story baby just say yes endofline romeo save me they are trying to tell me how to feel endofline this love is difficult but it is real endofline do not be afraid we will make it out of this mess endofline it is a love story baby just say yes endofparagraph[postchorus] endofline oh oh endofparagraph and i got tired of waiting endofline wondering if you were ever coming around endofline my faith in you was fading endofline when i met you on the outskirts of town endofparagraph and i said romeo save me i have been feeling so alone endofline i keep waiting for you but you never come endofline is this in my head i do not know what to think endofline he knelt to the ground and pulled out a ring and said endofline marry me juliet you will never have to be alone endofline i love you and that is all i really know endofline i talked to your dad go pick out a white dress endofline it is a love story baby just say 'yes' endofparagraph oh oh oh endofline oh oh oh endofline because we were both young when i first saw you endofparagraph
3,mmmmm mmmm endofline mmmmm mmmm endofline mmmmm mmmm yeah endofparagraph hey stephen i know looks can be deceiving endofline but i know i saw a light in you endofline and as we walked we were talking endofline i did not say half the things i wanted to endofline of all the girls tossing rocks at your window endofline i will be the one waiting there even when it is cold endofline hey stephen boy you might have me believing endofline i do not always have to be alone endofparagraph because i can not help it if you look like an angel endofline can not help it if i want to kiss you in the rain so endofline come feel this magic i have been feeling since i met you endofline can not help it if there is no one else endofline mmm i can not help myself endofparagraph hey stephen i have been holding back this feeling endofline so i got some things to say to you endofline i have seen it all so i thought endofline but i never seen nobody shine the way you do endofline the way you walk way you talk way you say my name endofline it is beautiful wonderful do not you ever change endofline hey stephen why are people always leaving endofline i think you and i should stay the same endofparagraph because i can not help it if you look like an angel endofline can not help it if i want to kiss you in the rain so endofline come feel this magic i have been feeling since i met you endofline can not help it if there is no one else endofline mmm i can not help myself endofparagraph they are dimming the street lights you are perfect for me endofline why are not you here tonight endofline i am waiting alone now so come on and come out endofline and pull me near and shine shine shine endofline hey stephen i could give you fifty reasons endofline why i should be the one you choose endofline all those other girls well they are beautiful endofline but would they write a song for you hahaha endofparagraph i can not help it if you look like an angel endofline can not help it if i want to kiss you in the rain so endofline come feel this magic i have been feeling since i met you endofline can not help it if there is no one else endofline mmm i can not help myself endofline if you look like an angel endofline can not help it if i want to kiss you in the rain so endofline come feel this magic i have been feeling since i met you endofline can not help it if there is no one else endofline mmm i can not help myself endofparagraph ahuh myself endofline mmmmm i can not help myself endofline i can not help myself endofline ohohoh endofline mmmmm mmmm endofline mmmmm mmmm endofline mmmmm mmmm endofparagraph
4,say you are sorry that face of an angel endofline comes out just when you need it to endofline as i paced back and forth all this time endofline because i honestly believed in you endofline holdin' on the days drag on endofline stupid girl i shoulda known i shoulda known endofparagraph that i am not a princess this are not a fairytale endofline i am not the one you will sweep off her feet lead her up the stairwell endofline this are not hollywood this is a small town endofline i was a dreamer before you went and let me down endofline now it is too late for you and your white horse endofline to come around endofparagraph maybe i was naïve got lost in your eyes endofline and never really had a chance endofline my mistake i did not know to bе in love endofline you had to fight to have the uppеr hand endofline i had so many dreams about you and me endofline happy endings now i know endofparagraph that i am not a princess this are not a fairytale endofline i am not the one you will sweep off her feet lead her up the stairwell endofline this are not hollywood this is a small town endofline i was a dreamer before you went and let me down endofline now it is too late for you and your white horse endofline to come around endofparagraph and there you are on your knees endofline beggin' for forgiveness beggin' for me endofline just like i always wanted endofline but i am so sorry endofparagraph because i am not your princess this are not our fairytale endofline i am going to find someone someday endofline who might actually treat me well endofline this is a big world that was a small town endofline there in my rearview mirror disappearing now endofline and it is too late for you and your white horse endofline now it is too late for you and your white horse endofline to catch me now endofparagraph oh whoa whoa whoa endofline try and catch me now oh endofline it is too late to catch me now endofparagraph
5,you are on the phone with your girlfriend she is upset endofline she is going off about something that you said endofline because she does not get your humor like i do endofline i am in my room it is a typical tuesday night endofline i am listening to the kind of music she does not like endofline and she will never know your story like i do endofparagraph[prechorus] endofline because she wears short skirts i wear tshirts endofline she is cheer captain and i am on the bleachers endofline dreaming about the day when you wake up and find endofline that what you are looking for has been here the whole time endofparagraph if you could see that i am the onе who understands you endofline been here all along so why can not you see endofline you bеlong with me you belong with me endofparagraph walking the streets with you and your wornout jeans endofline i can not help thinking this is how it ought to be endofline laughing on a park bench thinking to myself endofline hey is not this easy endofline and you have got a smile that could light up this whole town endofline i have not seen it in a while since she brought you down endofline you say you are fine i know you better than that endofline hey what are you doing with a girl like that endofparagraph[prechorus] endofline she wears high heels i wear sneakers endofline she is cheer captain and i am on the bleachers endofline dreaming about the day when you wake up and find endofline that what you are looking for has been here the whole time endofparagraph if you could see that i am the one who understands you endofline been here all along so why can not you see endofline you belong with me endofline standing by and waiting at your back door endofline all this time how could you not know baby endofline you belong with me you belong with me endofparagraph oh i remember you driving to my house endofline in the middle of the night endofline i am the one who makes you laugh endofline when you know you are about to cry endofline i know your favorite songs endofline and you tell me about your dreams endofline think i know where you belong endofline think i know it is with me endofparagraph can not you see that i am the one who understands you endofline been here all along so why can not you see endofline you belong with me endofline standing by and waiting at your back door endofline all this time how could you not know baby endofline you belong with me you belong with me endofparagraph you belong with me endofline have you ever thought just maybe endofline you belong with me endofline you belong with me endofparagraph
6,i took a chance i took a shot endofline and you might think i am bulletproof but i am not endofline you took a swing i took it hard endofline and down here from the ground i see who you are endofparagraph i am sick and tired of your attitude endofline i am feeling like i do not know you endofline you tell me that you love me then cut me down endofline and i need you like a heartbeat endofline but you know you got a mean streak endofline makes me run for cover when you are around endofline here is to you and your temper endofline yes i remember what you said last night endofline and i know that you see what you are doing to me endofline tell me why endofparagraph well you could write a book on endofline how to ruin someone is perfеct day endofline well i get so confused and frustratеd endofline forget what i am tryin' to say oh endofparagraph i am sick and tired of your reasons endofline i got no one to believe in endofline you tell me that you want me then push me around endofline and i need you like a heartbeat endofline but you know you got a mean streak endofline makes me run for cover when you are around endofline here is to you and your temper endofline yes i remember what you said last night endofline and i know that you see what you are doing to me endofline tell me why endofparagraph why do you have to make me feel small endofline so you can feel whole inside endofline why do you have to put down my dreams endofline so you are the only thing on my mind endofparagraph i am sick and tired of your attitude endofline feeling like i do not know you endofline you tell me that you want me then cut me down endofline i am sick and tired of your reasons endofline i have got no one to believe in endofline you ask me for my love then you push me around endofline here is to you and your temper endofline yes i remember what you said last night endofline and i know that you see what you are doing to me endofline tell me why why endofline tell me why oh endofparagraph i take a step back i let you go endofline i told you i am not bulletproof endofline now you know endofparagraph
7,all this time i was wasting hoping you would come around endofline i have been giving out chances every time and all you do is let me down endofline and it is taken me this long baby but i have figured you out endofline and you are thinking we will be fine again but not this time around endofparagraph you do not have to call anymore endofline i will not pick up the phone endofline this is the last straw endofline do not want to hurt anymore endofline and you can tell me that you are sorry endofline but i do not believe you baby like i did before endofline you are not sorry endofline no no ohoh endofparagraph you are looking so innocent i might believe you if i did not know endofline could have loved you all my life if you had not lеft me waiting in the cold endofline and you have got your sharе of secrets endofline and i am tired of being last to know oh endofline and now you are asking me to listen endofline because it is worked each time before endofparagraph but you do not have to call anymore endofline i will not pick up the phone endofline this is the last straw endofline do not want to hurt anymore endofline and you can tell me that you are sorry endofline but i do not believe you baby like i did before endofline you are not sorry endofline no no ohoh endofline you are not sorry endofline no no ohoh endofparagraph you had me crawling for you honey endofline and it never would have gone away no endofline you used to shine so bright but i watched all of it fade endofparagraph so you do not have to call anymore endofline i will not pick up the phone endofline this is the last straw endofline there is nothing left to beg for endofline and you can tell me that you are sorry endofline but i do not believe you baby like i did before endofline you are not sorry endofline no no ohoh endofline you are not sorry endofline no no ohoh endofparagraph no no no no no no no no no no no no endofline woah oh oh oh oh oh oh endofline oh oh oh no no no no no no endofparagraph
8,he is sensible and so incredible endofline and all my single friends are jealous endofline he says everything i need to hear and it is like endofline i could not ask for anything better endofline he opens up my door and i get into his car endofline and he says you look beautiful tonight endofline and i feel perfectly fine endofparagraph but i miss screaming and fighting and kissing in the rain endofline and it is 2am and i am cursing your name endofline you are so in love that you act insane endofline and that is the way i loved you endofline breaking down and coming undone endofline it is a rollercoaster kind of rush endofline and i never knew i could feel that much endofline and that is the way i loved you endofparagraph he respects my space endofline and never makes me wait endofline and he calls exactly when he says he will endofline he is close to my mother endofline talks business with my father endofline he is charming and endearing endofline and i am comfortable endofparagraph but i miss screaming and fighting and kissing in the rain endofline and it is 2am and i am cursing your name endofline you are so in love that you acted insane endofline and that is the way i loved you endofline breaking down and coming undone endofline it is a rollercoaster kind of rush endofline and i never knew i could feel that much endofline and that is the way i loved you endofparagraph he can not see the smile i am faking endofline and my heart's not breaking endofline because i am not feeling anything at all endofline and you were wild and crazy endofline just so frustrating endofline intoxicating complicated endofline got away by some mistake and now endofparagraph i miss screaming and fighting and kissing in the rain endofline it is 2am and i am cursing your name endofline i am so in love that i acted insane endofline and that is the way i loved you endofline breaking down and coming undone endofline it is a rollercoaster kind of rush endofline and i never knew i could feel that much endofline and that is the way i loved you oh oh endofparagraph whoa whoa ohoh oh endofline and that is the way i loved you oh oh oh oh endofline oh oh oh whoa endofline never knew i could feel that much endofline and that is the way i loved you endofparagraph
9,once upon a time endofline i believe it was a tuesday when i caught your eye endofline and we caught onto something endofline i hold onto the night endofline you looked me in the eye and told me you loved me endofline were you just kidding endofline because it seems to me endofline this thing is breaking down we almost never speak endofline i do not feel welcome anymore endofline baby what happened please tell me endofline because one second it was perfect endofline now you are halfway out the door endofparagraph and i stare at the phone he still has not called endofline and then you feel so low you can not feel nothing at all endofline and you flashback to when he said forever and always endofline oh and it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline because i was there when you said forever and always endofparagraph was i out of line endofline did i say something way too honest made you run and hide endofline like a scared little boy endofline i looked into your eyes endofline thought i knew you for a minute now i am not so sure endofline so here is to everything coming down to nothing endofline here is to silence that cuts me to the core endofline where is this going endofline thought i knew for a minute but i do not anymore endofparagraph and i stare at the phone he still has not called endofline and then you feel so low you can not feel nothing at all endofline and you flashback to when he said forever and always endofline oh and it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline because i was there when you said forever and always endofline you did not mean it baby i do not think so endofparagraph oh back up baby back up endofline did you forget everything endofline back up baby back up endofline did you forget everything endofparagraph because it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline because i was there when you said forever and always endofline oh i stare at the phone he still has not called endofline and then you feel so low you can not feel nothing at all endofline and you flashback to when we said forever and always endofline and it rains in your bedroom endofline everything is wrong endofline it rains when you are here and it rains when you are gone endofline because i was there when you said forever and always endofline you did not mean it baby endofline you said forever and always yeah endofparagraph
